name,version,status,owner
adk-adr-writer,1.1.0,active,agent-dev-kit
adk-after-action-review,1.2.0,active,agent-dev-kit
adk-archive-governance,1.0.0,active,agent-dev-kit
adk-artifact-gating,1.0.0,active,agent-dev-kit
adk-branch-closeout,1.0.0,active,agent-dev-kit
adk-chinese-code-review,1.1.0,active,agent-dev-kit
adk-chinese-commit-conventions,1.1.0,active,agent-dev-kit
adk-code-review-loop,1.4.1,active,agent-dev-kit
adk-commit-pr-quality-gate,1.1.0,active,agent-dev-kit
adk-component-api-stability,1.0.0,active,agent-dev-kit
adk-context-compress-handoff,1.0.0,active,agent-dev-kit
adk-context-engineering,1.0.0,active,agent-dev-kit
adk-cross-team-handoff,1.0.0,active,agent-dev-kit
adk-driver-bringup-checklist,1.0.0,active,agent-dev-kit
adk-driver-implementation,1.0.0,active,agent-dev-kit
adk-engineering-growth-review,1.0.0,active,agent-dev-kit
adk-embedded-diagnostic-harness,1.0.0,active,agent-dev-kit
embedded-audio-stream-triage,0.1.0,active,local
embedded-core-dump-triage,0.2.0,active,local
embedded-app-doc-handoff,0.1.0,active,local
embedded-log-triage,0.2.0,active,local
embedded-production-test-lifecycle,0.1.0,active,local
adk-embedded-release-orchestration,1.0.0,active,agent-dev-kit
adk-structured-requirements-questioning,1.0.0,active,agent-dev-kit
adk-interface-contract-design,1.1.0,active,agent-dev-kit
adk-knowledge-archive,1.0.0,active,agent-dev-kit
adk-memory-curator,1.0.0,active,agent-dev-kit
adk-parallel-agent-governance,1.4.0,active,agent-dev-kit
adk-lightweight-planning,1.0.0,active,agent-dev-kit
adk-planning-execution-loop,1.0.0,active,agent-dev-kit
adk-release-versioning,1.1.0,active,agent-dev-kit
adk-repo-drift-remediation,1.1.1,active,agent-dev-kit
adk-requirements-triage,1.3.0,active,agent-dev-kit
adk-runtime-router,1.1.0,active,agent-dev-kit
adk-security-supply-chain,1.0.0,active,agent-dev-kit
adk-skill-composition-governance,1.0.0,active,agent-dev-kit
adk-static-analysis-c-cpp,1.0.0,active,agent-dev-kit
adk-systematic-debugging,1.1.0,active,agent-dev-kit
adk-task-breakdown,1.4.0,active,agent-dev-kit
adk-test-strategy,1.0.0,active,agent-dev-kit
adk-token-context-governance,1.2.0,active,agent-dev-kit
adk-unit-test-embedded,1.0.0,active,agent-dev-kit
adk-verification-before-completion,1.4.0,active,agent-dev-kit
adk-worktree-governance,1.2.0,active,agent-dev-kit
browser-reader,0.1.0,active,local
caveman,1.0.0,active,vendor
chronicle-workflow-miner,1.2.0,active,local
cli-creator,0.1.0,active,openai
codex-parallel-collab,3.1.0,active,vendor
activity-report,1.0.0,active,local
mcp-builder,0.1.0,active,anthropics
mcu-firmware-release-closure,0.1.0,active,local
multi-search-engine,0.1.1,active,local
git-activity-summary,1.0.0,active,local
protocol-implementation-audit,0.1.0,active,local
research-note-wrap,3.1.0,active,vendor
session-wrap,4.0.0,active,local
skill-asset-manager,0.2.0,active,local
sigmastar-release-app-flow,0.1.0,active,local
windows-gui-release-orchestration,0.1.0,active,local
worktree-closeout,3.1.0,active,vendor
